,complexity,equation,loss,score
0,1,223.42178,7307.1353,0.0
1,3,131.59485 / L,6473.4565,0.06057055416905361
2,4,sqrt(49.02394 / mu),2892.7268,0.8055106140985577
3,5,(0.083542556 / mu) - -130.8342,1791.0995,0.47936990960104614
4,7,((0.049243074 / mu) + 77.020355) / L,856.7713,0.3687069671163149
5,9,(((1.8211664e-5 / mu) / mu) + 94.83358) / L,744.6811,0.07010747439666712
6,11,((0.059996247 / mu) + 48.8545) / (L - (mu * 41.13072)),581.2461,0.12389091292275697
7,13,((0.058925457 / mu) + 57.164948) / (L - (mu * (mu * 6168.7925))),510.7665,0.06463085429626397
8,15,((0.059914056 / mu) + 55.15629) / (L - (((mu * 11761.766) * mu) * L)),490.27295,0.020475130888876977
9,16,((4.343676 / sqrt(mu)) / (L - ((L * 16606.701) * (mu * mu)))) - 28.534763,412.92792,0.17168922694711503
10,18,((T + sqrt(18.811628 / mu)) + -75.96216) / (L - ((mu * (L * 17854.55)) * mu)),406.6996,0.007599110248742572
11,20,(((sqrt(20.13732 / mu) + -47.466785) + T) / (L - (mu * ((mu * L) * 14843.35)))) - T,383.30096,0.029627176218883635
